AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
7.4,291,29.9,524,"28-3月 -18 12.00.00.000000000 上午",185,271,0,1340,2611
3.4,75,21,150,"29-3月 -18 12.00.00.000000000 上午",50,64,0,381,720
4,73,28.9,160,"30-3月 -18 12.00.00.000000000 上午",64,77,0,416,790
3.8,65,28,146,"31-3月 -18 12.00.00.000000000 上午",47,61,0,231,550
7.9,788,33.8,1391,"01-4月 -18 12.00.00.000000000 上午",531,913,0,4742,8365
4.8,113,16.7,305,"02-4月 -18 12.00.00.000000000 上午",95,163,0,812,1488
3.2,102,19,225,"03-4月 -18 12.00.00.000000000 上午",77,125,0,375,904
2.7,163,43.5,220,"04-4月 -18 12.00.00.000000000 上午",90,173,0,826,1472
5.2,504,71.9,537,"05-4月 -18 12.00.00.000000000 上午",280,512,0,3384,5217
2.4,60,54.3,123,"06-4月 -18 12.00.00.000000000 上午",61,75,0,319,638
6,449,59,891,"07-4月 -18 12.00.00.000000000 上午",304,539,0,2532,4715
7.8,482,54.4,770,"08-4月 -18 12.00.00.000000000 上午",301,608,0,3131,5292
3.4,133,40.6,164,"09-4月 -18 12.00.00.000000000 上午",66,125,0,814,1302
2,5,17.7,47,"10-4月 -18 12.00.00.000000000 上午",9,17,0,54,132
3.9,169,52,222,"11-4月 -18 12.00.00.000000000 上午",89,159,0,858,1497
0.7,88,54.4,17,"12-4月 -18 12.00.00.000000000 上午",13,55,0,852,1025
0.3,5,27,5,"13-4月 -18 12.00.00.000000000 上午",4,10,0,85,109
0.8,32,40.6,28,"14-4月 -18 12.00.00.000000000 上午",16,29,0,378,483
2.7,172,62.6,352,"15-4月 -18 12.00.00.000000000 上午",144,208,0,735,1611
4.2,220,78.2,409,"16-4月 -18 12.00.00.000000000 上午",169,272,0,749,1819
3.9,86,67.4,257,"17-4月 -18 12.00.00.000000000 上午",80,132,0,200,755
3.9,136,67.9,268,"18-4月 -18 12.00.00.000000000 上午",97,145,0,456,1102
1,29,34.3,55,"19-4月 -18 12.00.00.000000000 上午",15,27,0,143,269
1.6,79,24.5,134,"20-4月 -18 12.00.00.000000000 上午",53,85,0,272,623
2,32,34,120,"21-4月 -18 12.00.00.000000000 上午",31,48,0,148,379
0.7,24,17.5,45,"22-4月 -18 12.00.00.000000000 上午",16,36,0,41,162
2,201,42,202,"23-4月 -18 12.00.00.000000000 上午",88,167,0,1039,1697
4.5,125,51.8,276,"24-4月 -18 12.00.00.000000000 上午",90,160,0,418,1069
6.2,169,63.8,456,"25-4月 -18 12.00.00.000000000 上午",131,189,0,361,1306
7.4,50,48.3,164,"26-4月 -18 12.00.00.000000000 上午",23,52,0,204,493
17.2,734,34.8,2981,"27-4月 -18 12.00.00.000000000 上午",789,835,0,9033,14372
27.2,1564,30.4,5621,"28-4月 -18 12.00.00.000000000 上午",2401,1735,0,19882,31203
20.8,1753,48,5402,"29-4月 -18 12.00.00.000000000 上午",1721,1842,0,18868,29586
18.4,1661,51,4444,"30-4月 -18 12.00.00.000000000 上午",1621,1660,0,16472,25858
18.4,1203,47.3,4007,"01-5月 -18 12.00.00.000000000 上午",1599,1296,0,12177,20282
11.2,922,60.8,2254,"02-5月 -18 12.00.00.000000000 上午",803,965,0,6272,11216
21.5,2133,51.9,5581,"03-5月 -18 12.00.00.000000000 上午",1788,2199,0,17040,28741
21,1725,35.1,7036,"04-5月 -18 12.00.00.000000000 上午",1664,1980,0,17253,29658
18.2,1833,61.4,6046,"05-5月 -18 12.00.00.000000000 上午",1778,2006,0,14349,26012
19.2,2453,53,6408,"06-5月 -18 12.00.00.000000000 上午",2288,2714,0,20397,34260
19.6,3150,52.8,7799,"07-5月 -18 12.00.00.000000000 上午",2518,3300,0,24706,41473
17.2,832,38.2,2991,"08-5月 -18 12.00.00.000000000 上午",1455,975,0,10154,16407
28.1,2227,47.3,7084,"09-5月 -18 12.00.00.000000000 上午",1886,2492,0,19034,32723
21,3068,53.7,8259,"10-5月 -18 12.00.00.000000000 上午",2700,3356,0,23492,40875
20.8,2577,49.8,6402,"11-5月 -18 12.00.00.000000000 上午",2453,2785,0,22814,37031
23.1,2199,44.2,6978,"12-5月 -18 12.00.00.000000000 上午",2398,2381,0,22823,36779
18.8,1042,28.7,4215,"13-5月 -18 12.00.00.000000000 上午",1548,1170,0,14351,22326
17.6,1678,39.7,4686,"14-5月 -18 12.00.00.000000000 上午",1731,1711,0,16494,26300
20.9,1597,48.5,5537,"15-5月 -18 12.00.00.000000000 上午",1764,1700,0,16773,27371
25,1704,43.4,7308,"16-5月 -18 12.00.00.000000000 上午",1507,1876,0,16552,28947
16,998,41,3663,"17-5月 -18 12.00.00.000000000 上午",1039,1022,0,8889,15611
